_id,DishImage,DishName,Calories,Protein,Carbohydrates,Fat,Fiber,Sodium,Iron,Calcium,Sugar,__v,QuantityRequired,nutritionId,selected,type,time
680534f0d035d501d3d0fb5f,https://drive.google.com/uc?id=1Y-IQ2jL0inu5YEH2sA3oicNDJxTDcmz0,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.49,5.54,0,0,0,0,0,0,0,0,100 g,95,,,
680534f0d035d501d3d0fb60,https://drive.google.com/uc?id=1LgSjdApbUBQHO7PfVQRALNXfgHT6Ad__,Poori,737.63,1.35,0,0,0,0,0,0,0,0,100 g,96,,,
680534f0d035d501d3d0fb61,https://drive.google.com/uc?id=1j_TWO9Ag3mS8hu_ojyj6T-M5_Ivczz6j,Spinach poori (Palak poori),684.25,1.42,0,0,0,0,0,0,0,0,100 g,97,,,
680534f0d035d501d3d0fb62,https://drive.google.com/uc?id=1x65x6F1DddqQNAGKmagntmfTnbWXD1Jx,Methi poori,710.02,1.45,0,0,0,0,0,0,0,0,100 g,98,,,
680534f0d035d501d3d0fb63,https://drive.google.com/uc?id=1uriELgJ8KPFTCurpG1LIMeR_j9woVv9c,Dal stuffed poori,785.16,2.08,0,0,0,0,0,0,0,0,100 g,99,,,
680534f0d035d501d3d0fb64,https://drive.google.com/uc?id=19CDzFtU2r0LFj5jPlv6nrxuSoJz45XiF,Potato stuffed poori (Aloo ki poori),776.74,1.52,0,0,0,0,0,0,0,0,100 g,100,,,
680534f0d035d501d3d0fb65,https://drive.google.com/uc?id=1cVifKGtnBqW-J8fae3ybTxkIYIHp7ziM,Tandoori parantha/paratha,295.37,5.08,0,0,0,0,0,0,0,0,100 g,101,,,
680534f0d035d501d3d0fb66,https://drive.google.com/uc?id=1azlus1sbLog-emdW30gdwx3NWDcgcw8y,Boiled rice (Uble chawal),117.19,2.6,0,0,0,0,0,0,0,0,100 g,102,,,
680534f0d035d501d3d0fb67,https://drive.google.com/uc?id=1ArWoMgVE5Kf6XdTVcxTAMq7_nXLTa0ET,Plain pulao,140.21,2.34,0,0,0,0,0,0,0,0,100 g,103,,,
680534f0d035d501d3d0fb68,https://drive.google.com/uc?id=15bql_VxrE-Ez8BLRSGqR0-GNGhyyJX7R,Mixed vegetable pulao,113.05,2.72,0,0,0,0,0,0,0,0,100 g,104,,,
680534f0d035d501d3d0fb69,https://drive.google.com/uc?id=1y-GVqj7YSP-XC1v3OpR9lW1bRwDMeaYf,Mushroom pulao,124.29,2.52,0,0,0,0,0,0,0,0,100 g,105,,,
680534f0d035d501d3d0fb6a,https://drive.google.com/uc?id=1GOPzmvF22UHKodKUJbUL2PG3NqBIjIYW,Sprouted moong pulao,112.97,2.19,0,0,0,0,0,0,0,0,100 g,106,,,
680534f0d035d501d3d0fb6b,https://drive.google.com/uc?id=1PSgk56-A-7xJOhJw2bXrhYIYwYsb-E9k,Paneer pulao,581.91,1.98,0,0,0,0,0,0,0,0,100 g,107,,,
680534f0d035d501d3d0fb6c,https://drive.google.com/uc?id=1VZgDG70jGrKnjSGqX6gywNCt-hYybafM,Peanut pulao,193.28,5.32,0,0,0,0,0,0,0,0,100 g,108,,,
680534f0d035d501d3d0fb6d,https://drive.google.com/uc?id=10eOb02-CFlWipNCY8n5u896x44rTsI1w,Navratan pulao,261.71,6.2,0,0,0,0,0,0,0,0,100 g,109,,,
680534f0d035d501d3d0fb6e,https://drive.google.com/uc?id=1PY6EEjhHiU0dSPXamw6Ms3A53dBCOXER,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.43,4.88,0,0,0,0,0,0,0,0,100 g,110,,,
680534f0d035d501d3d0fb6f,https://drive.google.com/uc?id=1tf_hznj0OaW2wDwzfyMlVsAlyjA41xSD,Mutton biryani/biriyani,190.76,7.38,0,0,0,0,0,0,0,0,100 g,111,,,
680534f0d035d501d3d0fb70,https://drive.google.com/uc?id=15O2rwU0G5LO7HRtOxONF_NR3xN3dZDST,Vegetable biryani/biriyani,174.61,3.16,0,0,0,0,0,0,0,0,100 g,112,,,
680534f0d035d501d3d0fb71,https://drive.google.com/uc?id=1HTgKgehRgQlQcBJEKH4CsFAVQ0G_aBXs,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.3,4.26,0,0,0,0,0,0,0,0,100 g,113,,,
680534f0d035d501d3d0fb72,https://drive.google.com/uc?id=1hZf3w-jA-fFCXEx3sIhuV2IpHCUiN6IO,Sweet rice (Meethe chawal),215.41,2.1,0,0,0,0,0,0,0,0,100 g,114,,,
680534f0d035d501d3d0fb73,https://drive.google.com/uc?id=1ld_n4BfnRhL_Q7nVAQve_ukQ2eVcwEqY,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.74,5.75,0,0,0,0,0,0,0,0,100 g,115,,,
680534f0d035d501d3d0fb74,https://drive.google.com/uc?id=1EKR2N5GN46jo938-zWu4Gm1uYEhP2LJK,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.04,7.45,0,0,0,0,0,0,0,0,100 g,116,,,
680534f0d035d501d3d0fb75,https://drive.google.com/uc?id=1uxC1AGMIUVyDpX2rGFv02_ZwryhmPzLQ,Spanish rice,164.24,4.19,0,0,0,0,0,0,0,0,100 g,117,,,
680534f0d035d501d3d0fb76,https://drive.google.com/uc?id=1KIT8Ha_9SsH3WNMoIXK6BftE88qe7IB1,Chinese fried rice,120.58,4.05,0,0,0,0,0,0,0,0,100 g,118,,,
680534f0d035d501d3d0fb77,https://drive.google.com/uc?id=1G1F7tpWuRmEJkb-0sgaFlsxmnL1scCY4,Macroni cheese pie,170.63,5.85,0,0,0,0,0,0,0,0,100 g,119,,,
680534f0d035d501d3d0fb78,https://drive.google.com/uc?id=1T96cdGYHjkqfDv9xTiUP3JUX2bx2l5fo,Vegetable chowmein,129.71,3.07,0,0,0,0,0,0,0,0,100 g,120,,,
680534f0d035d501d3d0fb79,https://drive.google.com/uc?id=1Z_3PkyTGxXJTPiM12J74OOWqFXMZ9rU9,Chicken chowmein,151.33,6.33,0,0,0,0,0,0,0,0,100 g,121,,,
680534f0d035d501d3d0fb7a,https://drive.google.com/uc?id=19b8tvxyqdvXyA9G-wwLPai7QaB3O9aUx,Cheese noodle ring,133.67,6.22,0,0,0,0,0,0,0,0,100 g,122,,,
