_id,DishName,Calories,Protein,Carbohydrates,Fat,Fiber,Sodium,Iron,Calcium,Sugar,__v,nutritionId,selected,type,time
680534f0d035d501d3d0fbe2,Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.03,11.48,0,,,,,,,0,226,,,
680534f0d035d501d3d0fbe3,Fish curry (Machli curry),111.13,8.76,0,,,,,,,0,227,,,
680534f0d035d501d3d0fbe4,Fried fish (Indian style) (Tali hui machli),658.54,4.35,0,,,,,,,0,228,,,
680534f0d035d501d3d0fbe5,Fried fish and Chips (English Style) (Tali hui machli aur chips),651.75,3.36,0,,,,,,,0,229,,,
680534f0d035d501d3d0fbe6,Tomato fish,489.79,2.39,0,,,,,,,0,230,,,
680534f0d035d501d3d0fbe7,Baked fish with cheese sauce,113.96,8.64,0,,,,,,,0,231,,,
680534f0d035d501d3d0fbe8,Fish tikka,117.33,16,0,,,,,,,0,232,,,
680534f0d035d501d3d0fbe9,Tandoori fish,95.98,11.19,0,,,,,,,0,233,,,
680534f0d035d501d3d0fbea,"Paneer, apple and pineapple salad",95.08,3.88,0,,,,,,,0,234,,,
680534f0d035d501d3d0fbeb,Russian salad,114.83,4.26,0,,,,,,,0,235,,,
680534f0d035d501d3d0fbec,Pasta salad,190.36,4.15,0,,,,,,,0,236,,,
680534f0d035d501d3d0fbed,Deviled egg,98.56,4.97,0,,,,,,,0,237,,,
680534f0d035d501d3d0fbee,Hawain salad,175.23,4.27,0,,,,,,,0,238,,,
680534f0d035d501d3d0fbef,Mixed pulse and vegetable salad,83.12,4.74,0,,,,,,,0,239,,,
680534f0d035d501d3d0fbf0,Sprouted moong salad ,37.81,2.29,0,,,,,,,0,240,,,
680534f0d035d501d3d0fbf1,Tossed salad,62.96,1.02,0,,,,,,,0,241,,,
680534f0d035d501d3d0fbf2,Mixed vegetable salad with curd sauce,60.28,4.23,0,,,,,,,0,242,,,
680534f0d035d501d3d0fbf3,Potato salad (Aloo ka salaad),89.91,1.4,0,,,,,,,0,243,,,
680534f0d035d501d3d0fbf4,Waldroff salad,141.75,1.47,0,,,,,,,0,244,,,
680534f0d035d501d3d0fbf5,Coleslaw,76.71,1.24,0,,,,,,,0,245,,,
680534f0d035d501d3d0fbf6,Fruit salad (Phalon ka salaad),78.14,0.91,0,,,,,,,0,246,,,
680534f0d035d501d3d0fbf7,Tomato onion raita (Tamatar aur pyaaz ka raita),59,3.74,0,,,,,,,0,247,,,
680534f0d035d501d3d0fbf8,Peanut raita (Mungfali ka raita),150.39,8.59,0,,,,,,,0,248,,,
680534f0d035d501d3d0fbf9,Sprouted moong raita ,60.89,4.62,0,,,,,,,0,249,,,
680534f0d035d501d3d0fbfa,Bottle gourd raita (Ghiya/Lauki ka raita),56.31,3.98,0,,,,,,,0,250,,,
680534f0d035d501d3d0fbfb,Cucumber raita (Kheere ka raita),59.13,4.04,0,,,,,,,0,251,,,
680534f0d035d501d3d0fbfc,Carrot and spinach raita (Gajar aur palak ka raita),56.83,4,0,,,,,,,0,252,,,
680534f0d035d501d3d0fbfd,Mint raita (Pudinay ka raita),77.59,5.64,0,,,,,,,0,253,,,
680534f0d035d501d3d0fbfe,Potato raita (Aloo ka raita),75.38,4.22,0,,,,,,,0,254,,,
