_id,selected,DishName,DishImage,isSaved,Calories,Protein,Fats,Carbohydrates,Sodium,Calcium,Iron,QuantityRequired,type,time,__v
680534f0d035d501d3d0fcd6,Not Selected,Cheese soup,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/cheese%20soup.png,false,41.13,12.39,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fcdb,Not Selected,Almond soup (Badam ka soup),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/almond%20soup%20(badam%20ka%20soup).png,false,78.65,10.13,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fce0,Not Selected,Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/onion-green%20chilli%20parantha/paratha%20(pyaaz%20aur%20hari%20mirch%20ka%20parantha/paratha).png,false,191.27,4.37,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb12,Not Selected,Egg nog,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/egg%20nog.png,false,97.14,4.78,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb14,Not Selected,Lassi (salted),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/lassi%20(salted).png,false,18.84,1.35,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb1e,Not Selected,Vegetarian club sandwich,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/vegetarian%20club%20sandwich.png,false,198.33,5.45,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb2f,Not Selected,Oatmeal Porridge,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/oatmeal%20porridge.png,false,72.85,2.6,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb5c,Not Selected,Pea parantha/paratha (Matar ka parantha/paratha),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/pea%20parantha/paratha%20(matar%20ka%20parantha/paratha).png,false,190.73,5.59,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb61,Not Selected,Spinach poori (Palak poori),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/spinach%20poori%20(palak%20poori).png,false,684.25,1.42,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb64,Not Selected,Potato stuffed poori (Aloo ki poori),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/potato%20stuffed%20poori%20(aloo%20ki%20poori).png,false,776.74,1.52,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb68,Not Selected,Mixed vegetable pulao,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/mixed%20vegetable%20pulao.png,false,113.05,2.72,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb7b,Not Selected,Spaghetti and cheese balls in tomato sauce,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/spaghetti%20and%20cheese%20balls%20in%20tomato%20sauce.png,false,508.32,2.41,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb82,Not Selected,Idli,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/idli.png,false,137.54,4.64,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fba2,Not Selected,Beans with coconut (Nariyal aur sem/phali; Beans thoran),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/beans%20with%20coconut%20(nariyal%20aur%20sem/phali;%20beans%20thoran).png,false,131.63,2.62,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbaf,Not Selected,Pea curry (Matar ki sabzi),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/pea%20curry%20(matar%20ki%20sabzi).png,false,102.99,4.51,0,0,0,0,0,100 g,Breakfast,Morning,0
